month,group,old,new,delta,pct
2024-10,property,3206,3206,0,0.0
2024-10,violent,368,368,0,0.0
2024-11,non_criminal,1042,1042,0,0.0
2024-11,other_criminal,2901,2901,0,0.0
2024-11,property,2972,2972,0,0.0
2024-11,violent,367,367,0,0.0
2024-12,non_criminal,1066,1066,0,0.0
2024-12,other_criminal,2942,2942,0,0.0
2024-12,property,3013,3013,0,0.0
2024-12,violent,359,359,0,0.0
2025-01,non_criminal,1103,1103,0,0.0
2025-01,other_criminal,3165,3165,0,0.0
2025-01,property,2891,2891,0,0.0
2025-01,violent,304,304,0,0.0
2025-02,non_criminal,1050,1050,0,0.0
2025-02,other_criminal,3017,3017,0,0.0
2025-02,property,2590,2590,0,0.0
2025-02,violent,272,272,0,0.0
2025-03,non_criminal,1221,1221,0,0.0
2025-03,other_criminal,3242,3242,0,0.0
2025-03,property,2987,2987,0,0.0
2025-03,violent,311,311,0,0.0
2025-04,non_criminal,1172,1172,0,0.0
2025-04,other_criminal,3202,3202,0,0.0
2025-04,property,2770,2770,0,0.0
2025-04,violent,304,304,0,0.0
2025-05,non_criminal,1179,1179,0,0.0
2025-05,other_criminal,3376,3376,0,0.0
2025-05,property,2952,2952,0,0.0
2025-05,violent,362,362,0,0.0
2025-06,non_criminal,1174,1174,0,0.0
2025-06,other_criminal,3232,3232,0,0.0
2025-06,property,3023,3023,0,0.0
2025-06,violent,336,336,0,0.0
2025-07,non_criminal,1103,1103,0,0.0
2025-07,other_criminal,3450,3450,0,0.0
2025-07,property,3097,3097,0,0.0
2025-07,violent,403,403,0,0.0
2025-08,non_criminal,1096,1096,0,0.0
2025-08,other_criminal,3418,3418,0,0.0
2025-08,property,3028,3028,0,0.0
2025-08,violent,365,365,0,0.0
2025-09,non_criminal,1034,1034,0,0.0
2025-09,other_criminal,3299,3299,0,0.0
2025-09,property,3177,3177,0,0.0
2025-09,violent,320,320,0,0.0
2025-10,non_criminal,1152,1152,0,0.0
2025-10,other_criminal,3401,3401,0,0.0
2025-10,property,3032,3032,0,0.0
2025-10,violent,363,363,0,0.0
2025-11,non_criminal,1010,1010,0,0.0
2025-11,other_criminal,3108,3108,0,0.0
2025-11,property,2712,2712,0,0.0
2025-11,violent,310,310,0,0.0
2025-12,non_criminal,1035,1035,0,0.0
2025-12,other_criminal,3076,3076,0,0.0
2025-12,property,2776,2776,0,0.0
2025-12,violent,262,262,0,0.0
2026-01,non_criminal,988,988,0,0.0
2026-01,other_criminal,3083,3083,0,0.0
2026-01,property,2628,2628,0,0.0
2026-01,violent,267,267,0,0.0
2026-02,non_criminal,978,978,0,0.0
2026-02,other_criminal,2903,2903,0,0.0
2026-02,property,2085,2085,0,0.0
2026-02,violent,251,251,0,0.0
2026-03,non_criminal,1158,1158,0,0.0
2026-03,other_criminal,3532,3532,0,0.0
2026-03,property,2432,2432,0,0.0
2026-03,violent,294,294,0,0.0
2026-04,non_criminal,1183,1183,0,0.0
2026-04,other_criminal,3376,3376,0,0.0
2026-04,property,2524,2524,0,0.0
2026-04,violent,290,290,0,0.0
2026-05,non_criminal,1241,1241,0,0.0
2026-05,other_criminal,3473,3473,0,0.0
2026-05,property,2664,2664,0,0.0
2026-05,violent,312,312,0,0.0
2026-06,non_criminal,1144,1144,0,0.0
2026-06,other_criminal,3516,3516,0,0.0
2026-06,property,2687,2687,0,0.0
2026-06,violent,329,329,0,0.0
2026-07,non_criminal,1245,1245,0,0.0
2026-07,other_criminal,3719,3719,0,0.0
2026-07,property,2604,2604,0,0.0
2026-07,violent,303,303,0,0.0
2026-08,non_criminal,1247,1247,0,0.0
2026-08,other_criminal,3539,3539,0,0.0
2026-08,property,2615,2615,0,0.0
2026-08,violent,308,308,0,0.0
2026-09,non_criminal,891,891,0,0.0
2026-09,other_criminal,2384,2384,0,0.0
2026-09,property,1932,1932,0,0.0
2026-09,violent,196,196,0,0.0
